epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.643782083634977,0.14699074074074073,0.7274234294891357,0.16517857142857142,2024-12-01 23:58:21.586030
1,0.4895083528977853,0.1423611111111111,0.5031483173370361,0.16964285714285715,2024-12-01 23:58:21.586030
2,0.42435950261575206,0.20833333333333334,0.41508845133440836,0.27901785714285715,2024-12-01 23:58:21.586030
3,0.4060565663708581,0.26157407407407407,0.4019695520401001,0.3549107142857143,2024-12-01 23:58:21.586030
4,0.3977142428910291,0.3414351851851852,0.3934515416622162,0.40625,2024-12-01 23:58:21.586030
5,0.38962693236492296,0.3449074074074074,0.38524083154542105,0.421875,2024-12-01 23:58:21.586030
6,0.38209894078749196,0.40046296296296297,0.38203868695667814,0.4107142857142857,2024-12-01 23:58:21.586030
7,0.3768838334966589,0.4097222222222222,0.3752264955214092,0.41964285714285715,2024-12-01 23:58:21.586030
8,0.3706147979806971,0.4340277777777778,0.3691268563270569,0.44642857142857145,2024-12-01 23:58:21.586030
9,0.36538687458744756,0.4212962962962963,0.36298582809312,0.46875,2024-12-01 23:58:21.586030
10,0.35801192676579513,0.48032407407407407,0.3510196655988693,0.46875,2024-12-01 23:58:21.586030
11,0.34788680297357066,0.5034722222222222,0.3531109371355602,0.46205357142857145,2024-12-01 23:58:21.586030
12,0.34551308221287197,0.5173611111111112,0.338824457355908,0.4732142857142857,2024-12-01 23:58:21.586030
13,0.3378276968443835,0.5196759259259259,0.33977703750133514,0.5,2024-12-01 23:58:21.586030
14,0.3307154024088824,0.5243055555555556,0.3292962312698364,0.49107142857142855,2024-12-01 23:58:21.586030
15,0.3247971071137322,0.5509259259259259,0.3228291017668588,0.5,2024-12-01 23:58:21.586030
16,0.32028743624687195,0.5381944444444444,0.3217351734638214,0.5401785714285714,2024-12-01 23:58:21.586030
17,0.31311226994903,0.5775462962962963,0.32030870233263287,0.5290178571428571,2024-12-01 23:58:21.586030
18,0.30694974682949205,0.5740740740740741,0.31034392544201445,0.5535714285714286,2024-12-01 23:58:21.586030
19,0.3024145651746679,0.5972222222222222,0.30391111969947815,0.5513392857142857,2024-12-01 23:58:21.586030
20,0.3018328702008283,0.5891203703703703,0.3116958716085979,0.5334821428571429,2024-12-01 23:58:21.586030
21,0.2971167321558352,0.5706018518518519,0.29790355052266804,0.5334821428571429,2024-12-01 23:58:21.586030
22,0.2854308083101555,0.6458333333333334,0.29970014095306396,0.53125,2024-12-01 23:58:21.586030
23,0.286867360273997,0.5983796296296297,0.2968555837869644,0.5915178571428571,2024-12-01 23:58:21.586030
24,0.282205100412722,0.6273148148148148,0.292795866727829,0.5803571428571429,2024-12-01 23:58:21.586030
25,0.2793012973335054,0.6064814814814815,0.2765547941837992,0.6026785714285714,2024-12-01 23:58:21.586030
26,0.2718562919784475,0.6435185185185185,0.2731246841805322,0.625,2024-12-01 23:58:21.586030
27,0.2660390778824135,0.6458333333333334,0.2829564405339105,0.5691964285714286,2024-12-01 23:58:21.586030
28,0.26341027242166026,0.6331018518518519,0.27882358325379236,0.5758928571428571,2024-12-01 23:58:21.586030
29,0.2580842784157506,0.6886574074074074,0.2699470690318516,0.6004464285714286,2024-12-01 23:58:21.586030
