epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.6455456128826847,0.14467592592592593,0.7261375870023455,0.203125,2024-12-01 23:13:32.646510
1,0.4918638015234912,0.14814814814814814,0.5029533590589251,0.24776785714285715,2024-12-01 23:13:32.646510
2,0.4220135631384673,0.21296296296296297,0.4114408642053604,0.28348214285714285,2024-12-01 23:13:32.646510
3,0.4011521339416504,0.30439814814814814,0.39877338281699587,0.36160714285714285,2024-12-01 23:13:32.646510
4,0.3910164369477166,0.3773148148148148,0.3893576179231916,0.3794642857142857,2024-12-01 23:13:32.646510
5,0.3821290367179447,0.39467592592592593,0.38048352939741953,0.44642857142857145,2024-12-01 23:13:32.646510
6,0.37615663365081503,0.4398148148148148,0.37374269323689596,0.4375,2024-12-01 23:13:32.646510
7,0.3700198961628808,0.4074074074074074,0.36424154681818827,0.515625,2024-12-01 23:13:32.646510
8,0.3593628340297275,0.4976851851851852,0.3558010735682079,0.46875,2024-12-01 23:13:32.646510
9,0.35345071333426015,0.5092592592592593,0.35024858159678324,0.5022321428571429,2024-12-01 23:13:32.646510
10,0.3433458153848295,0.5416666666666666,0.34438228607177734,0.5111607142857143,2024-12-01 23:13:32.646510
11,0.3389293959847203,0.5243055555555556,0.33634921269757406,0.578125,2024-12-01 23:13:32.646510
12,0.33121461228088095,0.5497685185185185,0.3306374358279364,0.5245535714285714,2024-12-01 23:13:32.646510
13,0.32459366431942693,0.5601851851851852,0.33252973428794314,0.5133928571428571,2024-12-01 23:13:32.646510
14,0.31666918595631915,0.5810185185185185,0.31462451602731434,0.5848214285714286,2024-12-01 23:13:32.646510
15,0.30947764383422005,0.5949074074074074,0.3123503178358078,0.5602678571428571,2024-12-01 23:13:32.646510
16,0.30471222157831546,0.6157407407407407,0.32255019673279356,0.5334821428571429,2024-12-01 23:13:32.646510
17,0.29451133255605344,0.6064814814814815,0.3052257001399994,0.5714285714285714,2024-12-01 23:13:32.646510
18,0.2892375527708619,0.6435185185185185,0.29266708876405445,0.5982142857142857,2024-12-01 23:13:32.646510
19,0.28131530461487947,0.6423611111111112,0.29045476019382477,0.5959821428571429,2024-12-01 23:13:32.646510
20,0.27544189658429885,0.6655092592592593,0.2839057147502899,0.5982142857142857,2024-12-01 23:13:32.646510
21,0.27004137524852045,0.6701388888888888,0.27967684077365057,0.6361607142857143,2024-12-01 23:13:32.646510
22,0.2639562746992818,0.6608796296296297,0.2858474190746035,0.5892857142857143,2024-12-01 23:13:32.646510
23,0.25883445530026045,0.6921296296296297,0.2755566175494875,0.6138392857142857,2024-12-01 23:13:32.646510
24,0.24951572992183543,0.7152777777777778,0.2611066997051239,0.6741071428571429,2024-12-01 23:13:32.646510
25,0.2451920912221626,0.7118055555555556,0.25707698294094633,0.6540178571428571,2024-12-01 23:13:32.646510
26,0.24337582566120006,0.6990740740740741,0.2557354218193463,0.6473214285714286,2024-12-01 23:13:32.646510
27,0.236171532008383,0.7361111111111112,0.26116050141198294,0.6540178571428571,2024-12-01 23:13:32.646510
28,0.23163784819620628,0.7291666666666666,0.24925992424998963,0.6629464285714286,2024-12-01 23:13:32.646510
29,0.22519194969424494,0.7534722222222222,0.25084906071424484,0.6339285714285714,2024-12-01 23:13:32.646510
30,0.2229260989913234,0.7314814814814815,0.2347782552242279,0.6941964285714286,2024-12-01 23:13:32.646510
31,0.21741830640368992,0.7615740740740741,0.23328542390039989,0.7120535714285714,2024-12-01 23:13:32.646510
32,0.21592940942004876,0.7418981481481481,0.23196669667959213,0.7098214285714286,2024-12-01 23:13:32.646510
33,0.2078799765419077,0.7673611111111112,0.22703314146825246,0.6964285714285714,2024-12-01 23:13:32.646510
34,0.20458982167420564,0.7638888888888888,0.22928437484162195,0.6986607142857143,2024-12-01 23:13:32.646510
35,0.20177546253910772,0.7847222222222222,0.21881289247955596,0.7299107142857143,2024-12-01 23:13:32.646510
36,0.19783988263871935,0.78125,0.22457206781421388,0.7254464285714286,2024-12-01 23:13:32.646510
37,0.19572185476620993,0.7870370370370371,0.21594247541257314,0.734375,2024-12-01 23:13:32.646510
38,0.19366313185956743,0.7731481481481481,0.2116698750427791,0.7276785714285714,2024-12-01 23:13:32.646510
39,0.18859549087506752,0.8113425925925926,0.21225509260381972,0.7522321428571429,2024-12-01 23:13:32.646510
40,0.1833727878552896,0.8032407407407407,0.21138783650738852,0.7410714285714286,2024-12-01 23:13:32.646510
41,0.1801055250344453,0.8194444444444444,0.20562461550746644,0.71875,2024-12-01 23:13:32.646510
42,0.17912304015071304,0.8055555555555556,0.20556565906320298,0.7433035714285714,2024-12-01 23:13:32.646510
43,0.1737619318343975,0.8125,0.20630522285188949,0.7410714285714286,2024-12-01 23:13:32.646510
44,0.17085368793319772,0.8194444444444444,0.2022165453859738,0.7700892857142857,2024-12-01 23:13:32.646510
45,0.16896732868971648,0.8275462962962963,0.21524317349706376,0.7544642857142857,2024-12-01 23:13:32.646510
46,0.16542847840874284,0.8194444444444444,0.20092500746250153,0.7254464285714286,2024-12-01 23:13:32.646510
47,0.16174554852423845,0.8425925925925926,0.20005991629191808,0.7388392857142857,2024-12-01 23:13:32.646510
48,0.16374091638459098,0.8217592592592593,0.18769031816295215,0.7767857142857143,2024-12-01 23:13:32.646510
49,0.1561031534715935,0.8530092592592593,0.19487141498497554,0.765625,2024-12-01 23:13:32.646510
50,0.15325513150956896,0.8622685185185185,0.19303846891437257,0.7611607142857143,2024-12-01 23:13:32.646510
51,0.15169302567287726,0.8657407407407407,0.18707105943134852,0.7678571428571429,2024-12-01 23:13:32.646510
52,0.1491919391685062,0.8564814814814815,0.18076295405626297,0.7834821428571429,2024-12-01 23:13:32.646510
53,0.14799174307673066,0.8599537037037037,0.17844663826482637,0.7857142857142857,2024-12-01 23:13:32.646510
54,0.14353042840957642,0.8668981481481481,0.18350917526653834,0.7745535714285714,2024-12-01 23:13:32.646510
55,0.14126025719775093,0.8715277777777778,0.1795125933630126,0.7745535714285714,2024-12-01 23:13:32.646510
56,0.1405510601622087,0.8692129629629629,0.17585767592702592,0.765625,2024-12-01 23:13:32.646510
57,0.1414138683014446,0.8680555555555556,0.1757375310574259,0.7745535714285714,2024-12-01 23:13:32.646510
58,0.13757220103784842,0.8738425925925926,0.17688543189849174,0.7767857142857143,2024-12-01 23:13:32.646510
59,0.13562069557331227,0.8738425925925926,0.17773211640971048,0.7700892857142857,2024-12-01 23:13:32.646510
60,0.13675866000078343,0.8599537037037037,0.17136070185473987,0.7901785714285714,2024-12-01 23:13:32.646510
61,0.12975523206922743,0.8854166666666666,0.17178290763071605,0.7946428571428571,2024-12-01 23:13:32.646510
62,0.12705836058766753,0.8888888888888888,0.16452800429293088,0.8258928571428571,2024-12-01 23:13:32.646510
63,0.12565231212863215,0.8993055555555556,0.17907019278832845,0.7879464285714286,2024-12-01 23:13:32.646510
64,0.12349142437731778,0.9050925925925926,0.17430755283151353,0.7700892857142857,2024-12-01 23:13:32.646510
65,0.12540613032049602,0.8877314814814815,0.16916523022311075,0.7901785714285714,2024-12-01 23:13:32.646510
66,0.12218890559894068,0.8981481481481481,0.16963838998760497,0.8013392857142857,2024-12-01 23:13:32.646510
67,0.11590318216217889,0.9039351851851852,0.15550548370395387,0.828125,2024-12-01 23:13:32.646510
68,0.11281597835046274,0.9155092592592593,0.15360607047166144,0.828125,2024-12-01 23:13:32.646510
69,0.11362266844069516,0.9108796296296297,0.17278614693454333,0.75,2024-12-01 23:13:32.646510
70,0.10787758244960396,0.9282407407407407,0.15616800636053085,0.8125,2024-12-01 23:13:32.646510
71,0.10743667130117063,0.9178240740740741,0.1582148319908551,0.8214285714285714,2024-12-01 23:13:32.646510
72,0.11057630098528332,0.9120370370370371,0.16221237555146217,0.8147321428571429,2024-12-01 23:13:32.646510
73,0.10767549552299359,0.9131944444444444,0.15654116868972778,0.8348214285714286,2024-12-01 23:13:32.646510
74,0.1028006711491832,0.9282407407407407,0.163179055920669,0.8125,2024-12-01 23:13:32.646510
75,0.10127303445780719,0.9247685185185185,0.15889920560376986,0.8169642857142857,2024-12-01 23:13:32.646510
76,0.10204276773664686,0.9270833333333334,0.15093583480588027,0.8102678571428571,2024-12-01 23:13:32.646510
77,0.09897997161304509,0.9236111111111112,0.14924932909863337,0.8147321428571429,2024-12-01 23:13:32.646510
78,0.09600755627508517,0.9351851851851852,0.15597336792520114,0.8236607142857143,2024-12-01 23:13:32.646510
79,0.0984381308986081,0.9259259259259259,0.15704622438975743,0.8080357142857143,2024-12-01 23:13:32.646510
80,0.09621175875266393,0.9351851851851852,0.15929743168609484,0.8125,2024-12-01 23:13:32.646510
81,0.09453724186729502,0.9386574074074074,0.14580800597156798,0.8370535714285714,2024-12-01 23:13:32.646510
