epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.43220149193491253,0.29464285714285715,0.4023987650871277,0.24851190618106297,2024-12-12 14:32:47.441041
1,0.37375484832695555,0.33816964285714285,0.3742223509720394,0.36061507889202665,2024-12-12 14:32:47.441041
2,0.3526187986135483,0.3939732142857143,0.3586531026022775,0.32986111300332205,2024-12-12 14:32:47.441041
3,0.33487347832747866,0.4017857142857143,0.31407501867839266,0.43874008314950125,2024-12-12 14:32:47.441041
