epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.6210625251134236,0.25416666666666665,0.6733912155032158,0.25,2024-11-26 09:29:09.455147
1,0.5612800379594167,0.25416666666666665,0.6633390039205551,0.2890625,2024-11-26 09:29:09.455147
2,0.5252062141895294,0.25,0.6059807166457176,0.2578125,2024-11-26 09:29:09.455147
3,0.5016485929489136,0.25833333333333336,0.5333311930298805,0.2734375,2024-11-26 09:29:09.455147
4,0.4860585550467173,0.25,0.49611152708530426,0.28125,2024-11-26 09:29:09.455147
5,0.468279504776001,0.30833333333333335,0.4832642413675785,0.28125,2024-11-26 09:29:09.455147
6,0.4607929507891337,0.3416666666666667,0.47263626754283905,0.359375,2024-11-26 09:29:09.455147
7,0.44950449069341025,0.37916666666666665,0.46276095509529114,0.3828125,2024-11-26 09:29:09.455147
8,0.4465118070443471,0.4083333333333333,0.45384860783815384,0.421875,2024-11-26 09:29:09.455147
9,0.43678611715634663,0.4583333333333333,0.4496200270950794,0.3828125,2024-11-26 09:29:09.455147
10,0.4332371950149536,0.5208333333333334,0.4449157789349556,0.3984375,2024-11-26 09:29:09.455147
11,0.4310636341571808,0.5333333333333333,0.4377219155430794,0.4765625,2024-11-26 09:29:09.455147
12,0.4241171677907308,0.5791666666666667,0.4345940425992012,0.4609375,2024-11-26 09:29:09.455147
13,0.4193240523338318,0.5916666666666667,0.42892374470829964,0.5078125,2024-11-26 09:29:09.455147
14,0.4117308636506399,0.6416666666666667,0.4252316281199455,0.515625,2024-11-26 09:29:09.455147
15,0.40339367190996805,0.6541666666666667,0.41912558674812317,0.546875,2024-11-26 09:29:09.455147
16,0.4040711621443431,0.6416666666666667,0.41623781993985176,0.5390625,2024-11-26 09:29:09.455147
17,0.3995837946732839,0.6583333333333333,0.41178177669644356,0.6015625,2024-11-26 09:29:09.455147
18,0.39644947250684104,0.6666666666666666,0.40805769339203835,0.625,2024-11-26 09:29:09.455147
19,0.39083525935808816,0.6625,0.4016319513320923,0.625,2024-11-26 09:29:09.455147
20,0.38972228169441225,0.6833333333333333,0.399067759513855,0.65625,2024-11-26 09:29:09.455147
21,0.3878536264101664,0.7208333333333333,0.397422943264246,0.65625,2024-11-26 09:29:09.455147
22,0.38408916592597964,0.675,0.39334089681506157,0.625,2024-11-26 09:29:09.455147
23,0.3780308743317922,0.7083333333333334,0.39489077776670456,0.6328125,2024-11-26 09:29:09.455147
24,0.3774806459744771,0.6958333333333333,0.38674603775143623,0.65625,2024-11-26 09:29:09.455147
25,0.37502833803494773,0.7041666666666667,0.3859223499894142,0.640625,2024-11-26 09:29:09.455147
26,0.37119590640068056,0.7083333333333334,0.3837178945541382,0.6171875,2024-11-26 09:29:09.455147
27,0.36998997728029887,0.7291666666666666,0.38052133098244667,0.6484375,2024-11-26 09:29:09.455147
28,0.36530711452166237,0.7208333333333333,0.37776149809360504,0.6171875,2024-11-26 09:29:09.455147
29,0.36224852204322816,0.7291666666666666,0.37368518114089966,0.6328125,2024-11-26 09:29:09.455147
