epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.5757012479710129,0.14622641509433962,0.573521477204782,0.16898148148148148,2024-11-29 19:14:13.354714
1,0.48639373228235067,0.17452830188679244,0.4624772954870153,0.18981481481481483,2024-11-29 19:14:13.354714
2,0.44177560761289775,0.2240566037735849,0.4276204385139324,0.24537037037037038,2024-11-29 19:14:13.354714
3,0.4127876336844462,0.27240566037735847,0.4078488184346093,0.2777777777777778,2024-11-29 19:14:13.354714
4,0.39751004048113553,0.31839622641509435,0.3931810524728563,0.34953703703703703,2024-11-29 19:14:13.354714
5,0.38638283452897704,0.3632075471698113,0.3885313018604561,0.3541666666666667,2024-11-29 19:14:13.354714
6,0.3788640965830605,0.37971698113207547,0.380597280131446,0.3680555555555556,2024-11-29 19:14:13.354714
7,0.37183273288438906,0.4375,0.3749219995957834,0.4027777777777778,2024-11-29 19:14:13.354714
8,0.3665063763564488,0.4658018867924528,0.3690106405152215,0.42592592592592593,2024-11-29 19:14:13.354714
9,0.3582365192332358,0.5070754716981132,0.36488186761184976,0.4513888888888889,2024-11-29 19:14:13.354714
10,0.3550327279657688,0.5188679245283019,0.3615614694577676,0.44907407407407407,2024-11-29 19:14:13.354714
11,0.35003158899973025,0.5330188679245284,0.3545155481055931,0.47685185185185186,2024-11-29 19:14:13.354714
12,0.3459698799646126,0.5483490566037735,0.34984415107303196,0.5138888888888888,2024-11-29 19:14:13.354714
13,0.34024615951304166,0.5695754716981132,0.347758733563953,0.5138888888888888,2024-11-29 19:14:13.354714
14,0.3347031997059876,0.5813679245283019,0.34156424138281083,0.5439814814814815,2024-11-29 19:14:13.354714
15,0.33381003703711165,0.5919811320754716,0.33978279321281996,0.5625,2024-11-29 19:14:13.354714
16,0.3268843062643735,0.6143867924528302,0.3357088069121043,0.5648148148148148,2024-11-29 19:14:13.354714
17,0.323713371213877,0.6226415094339622,0.33274201883210075,0.5717592592592593,2024-11-29 19:14:13.354714
18,0.32022996331160924,0.6533018867924528,0.32821312215593124,0.5787037037037037,2024-11-29 19:14:13.354714
19,0.3160642885936881,0.6509433962264151,0.3264343837896983,0.5763888888888888,2024-11-29 19:14:13.354714
20,0.314111960384081,0.6485849056603774,0.32131310524763884,0.5902777777777778,2024-11-29 19:14:13.354714
21,0.30766835527599984,0.6639150943396226,0.31873759627342224,0.5856481481481481,2024-11-29 19:14:13.354714
22,0.3082448148502494,0.6450471698113207,0.315864242889263,0.6018518518518519,2024-11-29 19:14:13.354714
