epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.5750765789229915,0.14386792452830188,0.5682452740492644,0.18287037037037038,2024-11-29 17:09:33.208190
1,0.4851297286321532,0.1792452830188679,0.4532014517872422,0.21296296296296297,2024-11-29 17:09:33.208190
2,0.4392735817522373,0.2275943396226415,0.42036562716519393,0.24768518518518517,2024-11-29 17:09:33.208190
3,0.40986245758128614,0.2806603773584906,0.400825078840609,0.30324074074074076,2024-11-29 17:09:33.208190
4,0.3933690724507818,0.3242924528301887,0.39227043588956195,0.30787037037037035,2024-11-29 17:09:33.208190
5,0.3833316581429176,0.38325471698113206,0.38115062978532577,0.37037037037037035,2024-11-29 17:09:33.208190
6,0.37606076080844086,0.4115566037735849,0.3757750027709537,0.4212962962962963,2024-11-29 17:09:33.208190
7,0.36851558820256647,0.4846698113207547,0.3711904673664658,0.42824074074074076,2024-11-29 17:09:33.208190
8,0.36383760593972114,0.46462264150943394,0.3656993729096872,0.42824074074074076,2024-11-29 17:09:33.208190
9,0.35653675670893686,0.5224056603773585,0.3602706050431287,0.45601851851851855,2024-11-29 17:09:33.208190
10,0.35132925690345046,0.5412735849056604,0.3565009688889539,0.47685185185185186,2024-11-29 17:09:33.208190
11,0.34483708638065264,0.5778301886792453,0.3508496174105891,0.49537037037037035,2024-11-29 17:09:33.208190
12,0.33983728851912154,0.5919811320754716,0.34402570018061884,0.5324074074074074,2024-11-29 17:09:33.208190
13,0.33574114037009906,0.6191037735849056,0.34204736793482743,0.5393518518518519,2024-11-29 17:09:33.208190
14,0.330485556485518,0.6191037735849056,0.33769963957645277,0.5532407407407407,2024-11-29 17:09:33.208190
15,0.32746550946865444,0.6261792452830188,0.3351113906613103,0.5763888888888888,2024-11-29 17:09:33.208190
16,0.3243880457473251,0.6379716981132075,0.331328758486995,0.5694444444444444,2024-11-29 17:09:33.208190
17,0.3204364079349446,0.652122641509434,0.327197696323748,0.6041666666666666,2024-11-29 17:09:33.208190
18,0.31807449797414383,0.6391509433962265,0.3261626727051205,0.5787037037037037,2024-11-29 17:09:33.208190
19,0.3121036173037763,0.6709905660377359,0.3232020647437484,0.5972222222222222,2024-11-29 17:09:33.208190
20,0.3094594579822612,0.6698113207547169,0.31979607983871744,0.5949074074074074,2024-11-29 17:09:33.208190
21,0.30559714110392444,0.6768867924528302,0.3153867313155421,0.6226851851851852,2024-11-29 17:09:33.208190
22,0.302193912132731,0.6698113207547169,0.3128752013047536,0.6087962962962963,2024-11-29 17:09:33.208190
23,0.2979584403757779,0.6792452830188679,0.31077768626036467,0.6226851851851852,2024-11-29 17:09:33.208190
24,0.29563976233860234,0.7205188679245284,0.30914795840228043,0.6111111111111112,2024-11-29 17:09:33.208190
25,0.2924132735099433,0.6957547169811321,0.3068069175437645,0.6180555555555556,2024-11-29 17:09:33.208190
26,0.2921279722227241,0.7016509433962265,0.3046093925281807,0.6134259259259259,2024-11-29 17:09:33.208190
27,0.2849460246990312,0.7346698113207547,0.3017780212340532,0.6180555555555556,2024-11-29 17:09:33.208190
28,0.2829926565008343,0.7275943396226415,0.2968431705677951,0.6296296296296297,2024-11-29 17:09:33.208190
29,0.2806566053966306,0.7275943396226415,0.29697865689242325,0.6134259259259259,2024-11-29 17:09:33.208190
30,0.2778640383819364,0.7476415094339622,0.29469332816424193,0.6296296296296297,2024-11-29 17:09:33.208190
31,0.27633976345916966,0.7323113207547169,0.2920459768286458,0.6273148148148148,2024-11-29 17:09:33.208190
