epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.5756042880832024,0.15330188679245282,0.5671535730361938,0.18055555555555555,2024-11-29 14:33:29.153473
1,0.48498314562833533,0.17806603773584906,0.45305091694549277,0.22916666666666666,2024-11-29 14:33:29.153473
2,0.43856472789116624,0.2169811320754717,0.4205502492410165,0.24768518518518517,2024-11-29 14:33:29.153473
3,0.4080516307983758,0.2806603773584906,0.40003277637340406,0.3148148148148148,2024-11-29 14:33:29.153473
4,0.39041970642107837,0.33962264150943394,0.38942691573390253,0.3472222222222222,2024-11-29 14:33:29.153473
5,0.3783948871324647,0.40212264150943394,0.37933545421670983,0.3773148148148148,2024-11-29 14:33:29.153473
6,0.36956325285839586,0.4658018867924528,0.371367041711454,0.43287037037037035,2024-11-29 14:33:29.153473
7,0.3612443450486885,0.5294811320754716,0.36677925012729784,0.4537037037037037,2024-11-29 14:33:29.153473
8,0.3546219226324333,0.5530660377358491,0.3604103481328046,0.47685185185185186,2024-11-29 14:33:29.153473
9,0.34781123107334355,0.5813679245283019,0.3553580465140166,0.5092592592592593,2024-11-29 14:33:29.153473
10,0.34174991609915245,0.6025943396226415,0.34891392787297565,0.5254629629629629,2024-11-29 14:33:29.153473
11,0.3337304164778511,0.6509433962264151,0.34528275661998326,0.5277777777777778,2024-11-29 14:33:29.153473
12,0.32749786579383994,0.6591981132075472,0.339522918065389,0.5462962962962963,2024-11-29 14:33:29.153473
13,0.32296681629036955,0.6627358490566038,0.33621796192946257,0.5578703703703703,2024-11-29 14:33:29.153473
14,0.3172054813717896,0.6709905660377359,0.33331250702893295,0.5763888888888888,2024-11-29 14:33:29.153473
15,0.31307153206951216,0.6733490566037735,0.3273995916048686,0.5925925925925926,2024-11-29 14:33:29.153473
16,0.3074275435141797,0.714622641509434,0.3239767054716746,0.5995370370370371,2024-11-29 14:33:29.153473
17,0.3022716444618297,0.7240566037735849,0.3199709079883717,0.6203703703703703,2024-11-29 14:33:29.153473
18,0.29921906343046223,0.7193396226415094,0.31971075799730087,0.6134259259259259,2024-11-29 14:33:29.153473
19,0.29294333845939274,0.7488207547169812,0.31624119149314034,0.5972222222222222,2024-11-29 14:33:29.153473
20,0.28979952549034693,0.7488207547169812,0.31225388800656356,0.625,2024-11-29 14:33:29.153473
21,0.2848377224971663,0.7653301886792453,0.3102623400864778,0.6111111111111112,2024-11-29 14:33:29.153473
22,0.28066613932825485,0.7617924528301887,0.3069821176705537,0.6111111111111112,2024-11-29 14:33:29.153473
23,0.2775787131966285,0.7594339622641509,0.30281840209607724,0.625,2024-11-29 14:33:29.153473
24,0.27315611884279073,0.7865566037735849,0.2999466249236354,0.625,2024-11-29 14:33:29.153473
25,0.26995287048366834,0.7794811320754716,0.2975683907667796,0.6412037037037037,2024-11-29 14:33:29.153473
26,0.26471241240231497,0.8007075471698113,0.29516450343308626,0.6365740740740741,2024-11-29 14:33:29.153473
27,0.2613647270877406,0.8018867924528302,0.29213840431637234,0.6342592592592593,2024-11-29 14:33:29.153473
28,0.26038495324692634,0.7877358490566038,0.2894365467407085,0.6481481481481481,2024-11-29 14:33:29.153473
29,0.25412905328678637,0.8125,0.28906327210090776,0.6412037037037037,2024-11-29 14:33:29.153473
30,0.2503506712756067,0.8231132075471698,0.2852922236477887,0.6550925925925926,2024-11-29 14:33:29.153473
31,0.2482399603105941,0.8360849056603774,0.2809909775301262,0.6597222222222222,2024-11-29 14:33:29.153473
32,0.2442472163798674,0.8349056603773585,0.28079260830526,0.6666666666666666,2024-11-29 14:33:29.153473
33,0.24128227723094653,0.8384433962264151,0.2797863041913068,0.6527777777777778,2024-11-29 14:33:29.153473
34,0.23696341154710301,0.8431603773584906,0.2760493595291067,0.6597222222222222,2024-11-29 14:33:29.153473
35,0.23503438369283136,0.8490566037735849,0.27457747801586435,0.6759259259259259,2024-11-29 14:33:29.153473
36,0.23180767359598628,0.8502358490566038,0.27070353814849146,0.6759259259259259,2024-11-29 14:33:29.153473
37,0.22842685653353637,0.8584905660377359,0.2708660612503688,0.7013888888888888,2024-11-29 14:33:29.153473
38,0.22486559034518475,0.8679245283018868,0.2689141548342175,0.6990740740740741,2024-11-29 14:33:29.153473
39,0.22129882956450841,0.8738207547169812,0.2629433141814338,0.6921296296296297,2024-11-29 14:33:29.153473
40,0.21990860858053532,0.8808962264150944,0.26491249435477787,0.6805555555555556,2024-11-29 14:33:29.153473
41,0.21639412163563496,0.8797169811320755,0.26036197167855724,0.7083333333333334,2024-11-29 14:33:29.153473
42,0.21241225611488773,0.8856132075471698,0.2604497891885263,0.7083333333333334,2024-11-29 14:33:29.153473
43,0.21092698652789277,0.8820754716981132,0.2615052450586248,0.7083333333333334,2024-11-29 14:33:29.153473
44,0.20671237724007302,0.8915094339622641,0.25905186655344786,0.7152777777777778,2024-11-29 14:33:29.153473
45,0.2042679842912926,0.902122641509434,0.2581824091849504,0.7245370370370371,2024-11-29 14:33:29.153473
46,0.20190752508505336,0.8867924528301887,0.2531478289100859,0.7337962962962963,2024-11-29 14:33:29.153473
47,0.1997104197178247,0.8926886792452831,0.25149282923451177,0.7291666666666666,2024-11-29 14:33:29.153473
48,0.19551533657424855,0.9080188679245284,0.25062828814541854,0.7106481481481481,2024-11-29 14:33:29.153473
49,0.1924106630514253,0.9186320754716981,0.2480597656082224,0.7199074074074074,2024-11-29 14:33:29.153473
50,0.19025313404371152,0.910377358490566,0.2491598399700942,0.7268518518518519,2024-11-29 14:33:29.153473
51,0.18722180909705613,0.9245283018867925,0.24179331682346486,0.7407407407407407,2024-11-29 14:33:29.153473
52,0.1850124105529965,0.9257075471698113,0.2455707589785258,0.7245370370370371,2024-11-29 14:33:29.153473
53,0.1812783159175009,0.9198113207547169,0.24204626569041499,0.7361111111111112,2024-11-29 14:33:29.153473
54,0.18042752962067443,0.9198113207547169,0.24028244724980108,0.7291666666666666,2024-11-29 14:33:29.153473
55,0.1783448837275775,0.9221698113207547,0.23981062902344596,0.7314814814814815,2024-11-29 14:33:29.153473
56,0.17539707852422065,0.9209905660377359,0.24166434230627837,0.7175925925925926,2024-11-29 14:33:29.153473
57,0.17261422917527972,0.9292452830188679,0.23763805903770305,0.7314814814814815,2024-11-29 14:33:29.153473
58,0.1697265680106181,0.9351415094339622,0.2377936183302491,0.7476851851851852,2024-11-29 14:33:29.153473
59,0.16816464235197823,0.9304245283018868,0.23326141138871512,0.7407407407407407,2024-11-29 14:33:29.153473
60,0.16426265408407967,0.9327830188679245,0.2334931746677116,0.7453703703703703,2024-11-29 14:33:29.153473
61,0.1645093633318847,0.9339622641509434,0.2333636548784044,0.7430555555555556,2024-11-29 14:33:29.153473
62,0.16222153674319106,0.9351415094339622,0.2283853375249439,0.7615740740740741,2024-11-29 14:33:29.153473
63,0.16086401298361006,0.9410377358490566,0.23158008246510117,0.7384259259259259,2024-11-29 14:33:29.153473
