epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.6446312047817089,0.1412037037037037,0.7273561699049813,0.15848214285714285,2024-12-01 22:59:16.001118
1,0.48958727055125767,0.14814814814814814,0.491969244820731,0.22544642857142858,2024-12-01 22:59:16.001118
2,0.4182168499187187,0.2650462962962963,0.41215511092117857,0.30357142857142855,2024-12-01 22:59:16.001118
3,0.39915330211321515,0.3587962962962963,0.39627933289323536,0.3861607142857143,2024-12-01 22:59:16.001118
4,0.3892445509080534,0.3958333333333333,0.38460844329425264,0.4419642857142857,2024-12-01 22:59:16.001118
5,0.3796098464065128,0.4305555555555556,0.3785660607474191,0.45982142857142855,2024-12-01 22:59:16.001118
6,0.37022147686393175,0.4513888888888889,0.3666737845965794,0.46651785714285715,2024-12-01 22:59:16.001118
7,0.3608626392152574,0.4849537037037037,0.3572498304503305,0.5089285714285714,2024-12-01 22:59:16.001118
8,0.3534122848952258,0.5057870370370371,0.3504291410957064,0.47767857142857145,2024-12-01 22:59:16.001118
9,0.3419590746914899,0.5578703703703703,0.34823866188526154,0.5245535714285714,2024-12-01 22:59:16.001118
10,0.3321292124412678,0.5625,0.3302156605890819,0.5223214285714286,2024-12-01 22:59:16.001118
11,0.3225512206554413,0.6087962962962963,0.32945655073438374,0.47767857142857145,2024-12-01 22:59:16.001118
12,0.31380995556160257,0.6030092592592593,0.3182195063148226,0.5870535714285714,2024-12-01 22:59:16.001118
13,0.30270624271145574,0.6365740740740741,0.3107790861810957,0.5446428571428571,2024-12-01 22:59:16.001118
14,0.2912384194356424,0.6712962962962963,0.3022564436708178,0.6116071428571429,2024-12-01 22:59:16.001118
15,0.2829700647680848,0.6631944444444444,0.29398830235004425,0.6495535714285714,2024-12-01 22:59:16.001118
16,0.27618815115204565,0.6898148148148148,0.2955104815108435,0.5825892857142857,2024-12-01 22:59:16.001118
17,0.2650518257308889,0.7222222222222222,0.27797496957438333,0.640625,2024-12-01 22:59:16.001118
18,0.25902720237219773,0.7199074074074074,0.2838518513100488,0.6071428571428571,2024-12-01 22:59:16.001118
